Computer Name,Logged On Users,Operating System,Domain,Missing OS Patches,Missing TP Patches,Missing Driver Patches,Missing BIOS Patches,Health,Service Pack,Remarks,Last Patched Time
10JHDK3,'--,Windows 10 Professional Edition (x64),cementation,0,0,0,0,Healthy,Windows 10 Version 22H2 (x64),Deployment Successful; Requires Reboot,"Jun 27, 2024 06:09 PM"
112074ZL8000096,'--,Windows 10 Professional Edition (x64),cementation,10,5,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),Deployment Successful; Requires Reboot,"Mar 5, 2025 10:05 AM"
113294ZL9000023,'--,Windows 10 Professional Edition (x64),cementation,4,0,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Sep 26, 2024 11:37 AM"
123YFK3,pablo.quitral,Windows 10 Professional Edition (x64),cementation,3,4,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 07:26 AM"
12LDJG3,scott.simpson,Windows 10 Professional Edition (x64),cementation,2,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 5, 2025 09:20 AM"
139TRQ3,brian.jones,Windows 10 Professional Edition (x64),cementation,3,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 01:23 PM"
156FWG3,kyle.beaudry,Windows 10 Professional Edition (x64),cementation,2,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 6, 2025 10:45 AM"
15C5NN3,"dave.davidson,connor.fox,leonard.durussel",Windows 10 Professional Edition (x64),cementation,2,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 09:26 PM"
1NY56M3,'--,Windows 10 Professional Edition (x64),cementation,1,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"May 30, 2024 10:20 AM"
1S55NN3,devon.rooney,Windows 10 Professional Edition (x64),cementation,3,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 4, 2025 07:42 PM"
1XJJFW3,'--,Windows 11 Professional Edition (x64),WOKRGORUP,6,3,0,0,Highly Vulnerable,Windows 11 Version 23H2 (x64),'--,"Mar 3, 2025 03:16 PM"
234S062,"mark.renner,Tom.Hughes,bobby.bishop",Windows 10 Professional Edition (x64),cementation,1,0,0,0,Healthy,Windows 10 Version 22H2 (x64),'--,"Dec 28, 2024 04:01 PM"
256FWG3,mustafa.nawaz,Windows 10 Professional Edition (x64),cementation,3,4,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 10:20 AM"
29C10N2,'--,Windows 10 Professional Edition (x64),cementation,6,0,0,0,Healthy,Windows 10 Version 22H2 (x64),'--,"Jul 15, 2024 09:47 AM"
2CBL5Y2,'--,Windows 10 Professional Edition (x64),cementation,8,4,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 09:13 AM"
2SW16M3,dale.duplessis,Windows 10 Professional Edition (x64),cementation,2,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 01:59 PM"
2WCJNF2,'--,Windows 10 Professional Edition (x64),cementation,5,0,0,0,Vulnerable,Windows 10 Version 21H2 (x64),'--,"Oct 23, 2024 02:20 PM"
2Z95MR2,"dawn.savoie,leonardo.passaggio,matthew.sommer",Windows 10 Professional Edition (x64),cementation,8,0,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Sep 26, 2024 11:19 AM"
2ZZ21J3,"roy.mervyn,Administrator,benjamin.gascon,Shawn.MacDonald",Windows 10 Professional Edition (x64),cementation,3,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Nov 26, 2024 10:40 AM"
342Q6G3,'--,Windows 10 Professional Edition (x64),cementation,1,2,0,0,Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 5, 2025 09:36 AM"
356FWG3,courtney.casey,Windows 10 Professional Edition (x64),cementation,4,3,0,0,Highly Vulnerable,Windows 10 Version 21H2 (x64),'--,"Feb 24, 2025 12:53 PM"
37X2SN2,'--,Windows 10 Professional Edition (x64),cementation,8,0,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,'--
39N4NN3,abby.ushakas,Windows 10 Professional Edition (x64),cementation,4,4,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 4, 2025 11:16 PM"
3DXR0J3-2,'--,Windows 10 Professional Edition (x64),cementation,1,0,0,0,Healthy,Windows 10 Version 22H2 (x64),'--,"Oct 23, 2024 02:14 PM"
3QXKVV3,marilyn.libick,Windows 10 Professional Edition (x64),cementation,11,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 01:21 PM"
